optim,n_functions,time,n_relations,size_max
1,10,3.12131404876709,30,10
2,10,2.4654605388641357,30,10
3,10,2.7764241695404053,30,10
0,11,5.952477216720581,30,10
1,11,5.840682029724121,30,10
2,11,4.718120574951172,30,10
3,11,4.875868082046509,30,10
0,12,6.0274293422698975,30,10
1,12,6.128996133804321,30,10
2,12,4.784144878387451,30,10
3,12,5.009289026260376,30,10
0,13,7.0511250495910645,30,10
1,13,7.008117914199829,30,10
2,13,5.728132247924805,30,10
3,13,5.710446119308472,30,10
0,14,7.579370975494385,30,10
1,14,8.114338874816895,30,10
2,14,7.487813234329224,30,10
3,14,6.062373638153076,30,10
0,15,10.042332887649536,30,10
1,15,9.962105751037598,30,10
2,15,8.027041912078857,30,10
3,15,8.160108804702759,30,10
0,16,10.383804321289062,30,10
1,16,10.43914794921875,30,10
2,16,8.093305826187134,30,10
3,16,8.369208574295044,30,10
0,17,10.625172138214111,30,10
1,17,10.526322603225708,30,10
2,17,8.325251817703247,30,10
3,17,8.477691173553467,30,10
0,18,10.686901569366455,30,10
1,18,10.605985403060913,30,10
2,18,8.356560707092285,30,10
3,18,8.753996849060059,30,10
0,19,11.031943798065186,30,10
1,19,11.023474216461182,30,10
2,19,8.825430393218994,30,10
3,19,8.994908094406128,30,10
0,20,13.753441572189331,30,10
1,20,13.751211166381836,30,10
2,20,13.68981409072876,30,10
3,20,11.584759950637817,30,10
0,21,17.866371154785156,30,10
1,21,17.70353364944458,30,10
2,21,17.910324335098267,30,10
3,21,18.786325216293335,30,10
0,22,21.673613786697388,30,10
1,22,21.583661317825317,30,10
2,22,17.530807495117188,30,10
3,22,17.49295949935913,30,10
0,23,26.50906229019165,30,10
1,23,26.707128763198853,30,10
2,23,25.833316326141357,30,10
3,23,21.921436548233032,30,10
0,24,28.05395221710205,30,10
1,24,27.76302719116211,30,10
2,24,26.45560312271118,30,10
3,24,22.919954776763916,30,10
0,25,30.45982027053833,30,10
1,25,33.06448721885681,30,10
2,25,30.00491738319397,30,10
3,25,26.793928384780884,30,10
0,26,39.91083908081055,30,10
1,26,40.79810905456543,30,10
2,26,39.02884793281555,30,10
3,26,32.26239776611328,30,10
0,27,43.463279485702515,30,10
1,27,43.14393877983093,30,10
2,27,43.48270630836487,30,10
3,27,44.484540939331055,30,10
0,28,46.940985918045044,30,10
1,28,47.35739994049072,30,10
2,28,46.25040626525879,30,10
3,28,47.36151194572449,30,10
0,29,51.152427673339844,30,10
1,29,51.528714656829834,30,10
2,29,51.50930690765381,30,10
3,29,51.32909917831421,30,10
0,30,52.92668604850769,30,10
1,30,51.8680522441864,30,10
2,30,48.24655103683472,30,10
3,30,51.218501567840576,30,10
0,31,51.797643423080444,30,10
1,31,51.39572811126709,30,10
2,31,49.65408396720886,30,10
3,31,51.99812984466553,30,10
0,32,53.85957908630371,30,10
1,32,51.713595151901245,30,10
2,32,50.055580615997314,30,10
3,32,52.825987577438354,30,10
0,33,58.276307821273804,30,10
1,33,58.06567573547363,30,10
2,33,55.61513924598694,30,10
3,33,59.68899488449097,30,10
0,34,66.24146604537964,30,10
1,34,67.49810075759888,30,10
2,34,61.429929971694946,30,10
3,34,67.44161915779114,30,10
0,35,65.16202783584595,30,10
1,35,65.79786944389343,30,10
2,35,61.751649141311646,30,10
3,35,68.30785608291626,30,10
0,1,0.16025829315185547,15,10
1,1,0.16141414642333984,15,10
2,1,0.1683967113494873,15,10
3,1,0.16280269622802734,15,10
0,2,0.44443845748901367,15,10
1,2,0.43561363220214844,15,10
2,2,0.4677462577819824,15,10
3,2,0.4338865280151367,15,10
0,3,1.105687141418457,15,10
1,3,1.0801444053649902,15,10
2,3,0.8896844387054443,15,10
3,3,0.9297218322753906,15,10
0,4,1.1201527118682861,15,10
1,4,1.1226651668548584,15,10
2,4,0.9598360061645508,15,10
3,4,0.9500265121459961,15,10
0,5,1.442861557006836,15,10
1,5,1.4115126132965088,15,10
2,5,1.1740987300872803,15,10
3,5,1.2402641773223877,15,10
0,6,1.760380744934082,15,10
1,6,1.8228802680969238,15,10
2,6,1.3377304077148438,15,10
3,6,1.4364349842071533,15,10
0,7,2.533832550048828,15,10
1,7,2.5185859203338623,15,10
2,7,1.9684560298919678,15,10
3,7,1.730994462966919,15,10
0,8,3.8755204677581787,15,10
1,8,3.849093437194824,15,10
2,8,3.1469690799713135,15,10
3,8,3.0782618522644043,15,10
0,9,6.809038400650024,15,10
1,9,7.103533506393433,15,10
2,9,6.475612640380859,15,10
3,9,5.177910566329956,15,10
0,10,7.110302209854126,15,10
1,10,7.088757038116455,15,10
2,10,7.23331356048584,15,10
3,10,5.48589563369751,15,10
0,11,7.258966445922852,15,10
1,11,7.311771869659424,15,10
2,11,7.2984771728515625,15,10
3,11,5.618974685668945,15,10
0,12,7.320249557495117,15,10
1,12,7.278687238693237,15,10
2,12,7.522424221038818,15,10
3,12,5.706419944763184,15,10
0,13,12.079715490341187,15,10
1,13,12.015707731246948,15,10
2,13,12.299338817596436,15,10
3,13,11.940081596374512,15,10
0,14,13.999720573425293,15,10
1,14,14.11045527458191,15,10
2,14,13.97006607055664,15,10
3,14,14.080135345458984,15,10
0,15,14.402637720108032,15,10
1,15,15.035723447799683,15,10
2,15,14.52194619178772,15,10
3,15,14.530847072601318,15,10
0,16,15.245749950408936,15,10
1,16,15.181151628494263,15,10
2,16,15.840583801269531,15,10
3,16,15.358263969421387,15,10
0,17,21.020789861679077,15,10
1,17,21.037545919418335,15,10
2,17,21.707159280776978,15,10
3,17,21.019644260406494,15,10
0,18,29.04441475868225,15,10
1,18,28.9736545085907,15,10
2,18,29.488269329071045,15,10
3,18,28.52965497970581,15,10
0,19,34.33698749542236,15,10
1,19,34.60792255401611,15,10
2,19,34.99978804588318,15,10
3,19,33.843393325805664,15,10
0,20,36.781211376190186,15,10
1,20,37.202643632888794,15,10
2,20,37.23278284072876,15,10
3,20,36.01040816307068,15,10
0,21,38.18034052848816,15,10
1,21,38.3095281124115,15,10
2,21,37.44364666938782,15,10
3,21,37.61896848678589,15,10
0,22,38.282105684280396,15,10
1,22,38.007752656936646,15,10
2,22,38.61852049827576,15,10
