optim,n_functions,time,n_relations,size_max
False,62,607.5271065235138,1000,10
True,63,508.60144782066345,1000,10
False,63,637.543737411499,1000,10
True,64,547.8649821281433,1000,10
False,64,701.5531170368195,1000,10
True,65,580.9090950489044,1000,10
False,65,766.5731465816498,1000,10
True,66,579.8327882289886,1000,10
False,66,780.9337244033813,1000,10
True,67,585.0466027259827,1000,10
False,67,727.9583721160889,1000,10
True,68,618.379448890686,1000,10
False,68,778.1151859760284,1000,10
True,69,663.622410774231,1000,10
False,69,838.555980682373,1000,10
True,70,706.2533276081085,1000,10
False,70,886.2357304096222,1000,10
True,71,720.2191045284271,1000,10
False,71,912.3968396186829,1000,10
True,72,744.849915266037,1000,10
False,72,935.5604467391968,1000,10
True,1,0.010540962219238281,10,10
False,1,0.011677265167236328,10,10
True,2,0.1289653778076172,10,10
False,2,0.14186358451843262,10,10
True,3,0.16594409942626953,10,10
False,3,0.19271326065063477,10,10
True,4,0.21251487731933594,10,10
False,4,0.231919527053833,10,10
True,5,0.3448929786682129,10,10
False,5,0.3856923580169678,10,10
True,6,0.49114179611206055,10,10
False,6,0.5134708881378174,10,10
True,7,0.5489187240600586,10,10
False,7,0.6017117500305176,10,10
True,8,1.3815088272094727,10,10
False,8,1.5399837493896484,10,10
True,9,1.8219149112701416,10,10
False,9,1.9933736324310303,10,10
True,10,3.1699962615966797,10,10
False,10,3.915546417236328,10,10
True,11,4.9008026123046875,10,10
False,11,6.144333600997925,10,10
True,12,6.130144834518433,10,10
False,12,7.669740200042725,10,10
True,13,6.484280586242676,10,10
False,13,8.25432276725769,10,10
True,14,8.305670499801636,10,10
False,14,10.023969650268555,10,10
True,15,12.986247301101685,10,10
False,15,15.865203619003296,10,10
True,16,13.748278617858887,10,10
False,16,16.59694528579712,10,10
True,17,21.21848177909851,10,10
False,17,25.91695475578308,10,10
True,18,23.647502660751343,10,10
False,18,27.647597789764404,10,10
True,19,33.2229950428009,10,10
False,19,40.11371326446533,10,10
True,20,326.27624559402466,10,10
False,20,348.37604808807373,10,10
True,21,370.36025190353394,10,10
False,21,398.89168763160706,10,10
True,22,377.8110406398773,10,10
False,22,436.4972913265228,10,10
True,23,423.0226664543152,10,10
False,23,495.0343372821808,10,10
True,24,485.88673210144043,10,10
False,24,554.5394470691681,10,10
True,25,490.37107968330383,10,10
False,25,671.7735710144043,10,10
True,26,518.313873052597,10,10
False,26,676.0296947956085,10,10
True,27,516.008820772171,10,10
False,27,629.563437461853,10,10
True,28,654.7928957939148,10,10
False,28,843.9482233524323,10,10
True,29,681.341062784195,10,10
False,29,847.574826002121,10,10
True,30,735.0647876262665,10,10
False,30,910.1826739311218,10,10
True,31,870.9162769317627,10,10
False,31,1137.620216369629,10,10
True,32,879.7304992675781,10,10
False,32,1154.916096687317,10,10
True,33,917.9632258415222,10,10
False,33,1181.4347517490387,10,10
True,34,925.2211308479309,10,10
False,34,1209.8763618469238,10,10
True,35,1421.2680468559265,10,10
False,35,1388.281306028366,10,10
True,36,1651.2731759548187,10,10
False,36,1602.4945521354675,10,10
True,37,1662.3426299095154,10,10
False,37,1657.8049628734589,10,10
True,38,1779.7054114341736,10,10
False,38,1812.6288385391235,10,10
True,39,2101.130489587784,10,10
False,39,2218.2048552036285,10,10
True,40,2218.9550211429596,10,10
False,40,2293.847213745117,10,10
True,41,3440.5053277015686,10,10
False,41,3325.470491886139,10,10
True,42,3631.476711034775,10,10
False,42,3514.669814348221,10,10
True,43,3703.2959520816803,10,10
False,43,3633.4199934005737,10,10
True,44,4181.7084004879,10,10
False,44,4136.435752153397,10,10
True,45,6018.172171354294,10,10
False,45,4940.054307937622,10,10
True,1,0.05450010299682617,100,10
False,1,0.05814361572265625,100,10
True,2,0.0595088005065918,100,10
False,2,0.06344819068908691,100,10
True,3,0.13878178596496582,100,10
False,3,0.1482090950012207,100,10
True,4,0.14748764038085938,100,10
False,4,0.15796566009521484,100,10
True,5,0.17016983032226562,100,10
False,5,0.18192696571350098,100,10
True,6,0.1896498203277588,100,10
False,6,0.20185375213623047,100,10
True,7,0.2803668975830078,100,10
False,7,0.29863977432250977,100,10
True,8,0.6664164066314697,100,10
False,8,0.699084997177124,100,10
True,9,0.7867231369018555,100,10
False,9,0.8335931301116943,100,10
True,10,0.9148445129394531,100,10
False,10,0.9604501724243164,100,10
True,11,0.9755508899688721,100,10
False,11,1.056091547012329,100,10
True,12,1.187561273574829,100,10
False,12,1.2846031188964844,100,10
True,13,1.5156316757202148,100,10
False,13,1.6206822395324707,100,10
True,14,1.5721113681793213,100,10
